store_ID,day_of_week,nb_customers_on_day,open,promotion,school_holiday,year,month,day,week,is_weekend,holiday_a,holiday_b,holiday_c,sales
415,7,0,0,0,0,2015,3,1,9,1,0,0,0,1776.3650056255283
27,7,0,0,0,0,2013,12,29,52,1,0,0,0,1894.7285100421286
404,3,657,1,1,0,2014,3,19,12,0,0,0,0,7025.506947903021
683,2,862,1,0,0,2013,1,29,5,0,0,0,0,6684.355326801597
920,3,591,1,1,0,2014,3,19,12,0,0,0,0,6541.1656182865845
758,4,569,1,0,0,2014,6,26,26,0,0,0,0,4957.660975732317
563,1,321,1,1,0,2015,2,16,8,0,0,0,0,5410.271985448839
930,6,1367,1,0,0,2014,11,22,47,1,0,0,0,10259.768249619985
756,4,0,0,1,0,2015,6,4,23,0,1,0,0,1522.4706308889436
49,2,546,1,1,0,2015,1,13,3,0,0,0,0,6654.519456073991
787,4,968,1,0,1,2015,7,23,30,0,0,0,0,7665.122608986625
782,4,472,1,0,0,2013,9,19,38,0,0,0,0,4298.236178102321
897,7,0,0,0,0,2014,4,20,16,1,0,0,0,1596.6720617339015
933,1,965,1,0,0,2013,12,9,50,0,0,0,0,7804.267003656772
218,2,804,1,0,1,2015,4,7,15,0,0,0,0,6934.26565941429
554,3,499,1,1,1,2013,10,9,41,0,0,0,0,6226.720461593999
362,1,1337,1,1,1,2013,8,12,33,0,0,0,0,11547.472354834259
655,3,560,1,0,0,2014,4,9,15,0,0,0,0,4965.72692498297
785,3,461,1,0,1,2014,12,31,1,0,0,0,0,4831.3721726554795
690,3,866,1,1,0,2014,3,19,12,0,0,0,0,8237.522336085793
1103,7,0,0,0,0,2015,2,15,7,1,0,0,0,1648.5867569035618
431,1,1367,1,1,0,2014,6,2,23,0,0,0,0,11693.115456276224
127,2,642,1,1,0,2013,9,24,39,0,0,0,0,7203.162000395707
579,5,0,0,1,1,2013,3,29,13,0,0,1,0,40.43597657466307
248,6,1139,1,0,0,2013,8,3,31,1,0,0,0,8675.096580366662
962,6,0,0,0,0,2014,1,11,2,1,0,0,0,1607.1712280365173
224,2,515,1,1,1,2013,3,26,13,0,0,0,0,6294.644883044879
208,3,355,1,1,1,2013,6,19,25,0,0,0,0,5281.143774088123
401,1,1063,1,1,0,2015,3,30,14,0,0,0,0,9975.601595332497
503,7,0,0,0,0,2013,9,29,39,1,0,0,0,1699.2322344137938
221,4,562,1,1,0,2015,3,5,10,0,0,0,0,6476.1815529157175
268,7,0,0,0,0,2014,11,2,44,1,0,0,0,1938.1473666058737
799,2,927,1,1,1,2013,8,27,35,0,0,0,0,8876.647465844755
260,6,894,1,0,0,2014,10,25,43,1,0,0,0,7487.715762085398
1041,2,594,1,0,0,2015,3,10,11,0,0,0,0,5396.635838450224
350,2,533,1,1,0,2013,6,18,25,0,0,0,0,6381.7825867407955
286,7,0,0,0,0,2015,4,5,14,1,0,0,0,1844.0126348624472
620,2,709,1,1,0,2013,6,4,23,0,0,0,0,7371.23922831472
521,1,484,1,1,0,2013,6,17,25,0,0,0,0,6209.982142592955
649,4,435,1,1,0,2014,11,27,48,0,0,0,0,5815.455229739833
1059,2,1239,1,1,0,2015,6,2,23,0,0,0,0,10835.255774420453
486,6,373,1,0,0,2014,6,28,26,1,0,0,0,4160.42386239476
252,4,642,1,0,0,2013,10,17,42,0,0,0,0,5446.730428590614
656,3,421,1,1,0,2013,5,15,20,0,0,0,0,5457.045602077269
642,5,394,1,0,0,2014,9,12,37,0,0,0,0,3857.339458036062
655,5,761,1,1,0,2015,5,8,19,0,0,0,0,7531.7484462299035
992,3,627,1,0,0,2013,6,26,26,0,0,0,0,5249.086826806655
143,2,731,1,1,0,2015,6,2,23,0,0,0,0,7926.310749390454
421,5,941,1,1,1,2014,7,18,29,0,0,0,0,8679.722697177145
246,4,1157,1,1,0,2014,10,2,40,0,0,0,0,10150.021561514586
960,1,720,1,1,0,2014,4,28,18,0,0,0,0,7675.8043969211285
313,5,697,1,0,0,2014,1,17,3,0,0,0,0,5439.8828550846665
291,6,534,1,0,0,2013,6,29,26,1,0,0,0,4992.417671951873
924,6,333,1,0,0,2014,5,31,22,1,0,0,0,3813.0115788775147
337,2,430,1,1,1,2013,8,13,33,0,0,0,0,5931.636885481188
1024,4,607,1,0,0,2015,3,12,11,0,0,0,0,5173.361037144146
56,3,402,1,1,0,2014,1,22,4,0,0,0,0,5474.900328817079
507,3,532,1,0,0,2014,4,9,15,0,0,0,0,4821.731312608346
970,5,406,1,0,0,2013,3,15,11,0,0,0,0,3475.934658815968
846,2,828,1,0,0,2015,6,23,26,0,0,0,0,6980.026971343439
549,3,582,1,0,0,2014,8,27,35,0,0,0,0,5304.181195597048
1095,4,852,1,1,1,2013,3,28,13,0,0,0,0,7875.777495327697
859,5,709,1,1,0,2013,4,12,15,0,0,0,0,6806.719442838046
914,2,1178,1,1,1,2014,7,29,31,0,0,0,0,10508.88850277802
888,2,634,1,0,0,2015,6,23,26,0,0,0,0,5803.475327669003
442,2,517,1,1,0,2014,11,4,45,0,0,0,0,6609.512570513121
34,6,905,1,0,0,2013,3,9,10,1,0,0,0,7118.811630587559
199,4,581,1,0,0,2014,7,10,28,0,0,0,0,5132.222198660951
854,4,657,1,1,0,2015,6,4,23,0,1,0,0,5466.721749211138
611,2,485,1,1,0,2014,1,21,4,0,0,0,0,6034.505079145252
808,4,528,1,0,1,2015,4,9,15,0,0,0,0,4867.06279132131
1105,4,410,1,0,0,2015,1,22,4,0,0,0,0,3913.6668018440832
866,5,445,1,0,0,2015,4,24,17,0,0,0,0,4130.168390600884
222,6,367,1,0,0,2013,9,28,39,1,0,0,0,4110.996206807555
476,2,753,1,1,0,2013,9,24,39,0,0,0,0,7813.835254431528
800,1,494,1,0,0,2014,5,26,22,0,0,0,0,4922.3506246652105
330,1,408,1,0,0,2014,3,24,13,0,0,0,0,4401.781353294267
507,3,648,1,1,0,2015,1,7,2,0,0,0,0,7027.274469262455
98,7,0,0,0,0,2013,6,2,22,1,0,0,0,1600.731067651941
1026,2,1044,1,0,0,2014,1,28,5,0,0,0,0,7895.309872519865
990,5,719,1,0,0,2013,10,4,40,0,0,0,0,5608.704663182958
8,6,345,1,0,0,2015,1,10,2,1,0,0,0,4018.0952368009603
611,3,566,1,1,1,2013,7,31,31,0,0,0,0,6546.763524367125
257,2,777,1,1,0,2013,8,13,33,0,0,0,0,7936.032721389027
840,4,1189,1,1,0,2015,4,16,16,0,0,0,0,10211.458888869209
848,5,998,1,1,1,2015,7,31,31,0,0,0,0,9149.35072683997
124,6,297,1,0,0,2014,7,12,28,1,0,0,0,3771.4729418770294
1028,2,438,1,0,1,2013,12,31,1,0,0,0,0,4632.987770361651
95,2,1099,1,1,0,2013,9,24,39,0,0,0,0,9963.512785546656
208,1,323,1,0,0,2013,10,28,44,0,0,0,0,4014.0783947064774
249,2,449,1,0,0,2014,7,8,28,0,0,0,0,4632.585081224679
887,3,614,1,1,0,2013,3,20,12,0,0,0,0,6514.0911231820355
73,1,601,1,1,1,2014,4,28,18,0,0,0,0,7207.9277012076345
13,4,501,1,1,1,2015,4,2,14,0,0,0,0,6277.054341753188
1049,2,580,1,0,1,2013,9,3,36,0,0,0,0,5283.627718740783
144,4,769,1,1,0,2015,2,5,6,0,0,0,0,7698.174749484169
847,3,1018,1,1,1,2013,8,14,33,0,0,0,0,9238.642093541159
